cx,cy,rmajor,rminor,type
14,2,19.75431153656605,9.877155768283025,MH
15,2,20.407907836196767,10.203953918098383,MH
16,2,18.408921750962563,9.204460875481281,MH
17,2,14.283625626020635,7.141812813010318,MH
18,2,11.841127766037014,5.920563883018507,MH
19,2,13.101634915324825,6.550817457662412,MH
20,2,10.07556893067092,5.03778446533546,MH
21,2,11.142968082340566,5.571484041170283,MH
22,2,13.632151392297809,6.816075696148904,MH
23,2,18.4513630691204,9.2256815345602,MH
24,2,12.859719401825144,6.429859700912572,MH
25,2,21.22065907891938,10.61032953945969,MH
26,2,13.432677196955966,6.716338598477983,MH
27,2,11.308489223156137,5.6542446115780685,MH
28,2,13.267156056140397,6.633578028070199,MH
29,2,18.81423633936992,9.40711816968496,MH
30,2,14.875682014322484,7.437841007161242,MH
31,2,17.628001496858328,8.814000748429164,MH
32,2,17.591926376424166,8.795963188212083,MH
33,2,13.857090378534354,6.928545189267177,MH
34,2,13.608808667310997,6.804404333655499,MH
35,2,9.763625242210805,4.881812621105403,MH
36,2,12.28463954078643,6.142319770393215,MH
37,2,15.696921520676664,7.848460760338332,MH
38,2,16.866179835925124,8.433089917962562,MH
39,2,13.880433103521165,6.9402165517605825,MH
40,2,12.80030155640417,6.400150778202085,MH
41,2,14.551005930415018,7.275502965207509,MH
42,2,15.51866798441374,7.75933399220687,MH
43,2,17.55372919008211,8.776864595041054,MH
44,2,18.714499241699,9.3572496208495,MH
45,2,10.831024393880451,5.415512196940226,MH
46,2,11.917522138721123,5.958761069360562,MH
47,2,15.17489330733525,7.587446653667625,MH
48,2,12.37376630891789,6.186883154458945,MH
49,2,15.083644473295895,7.541822236647947,MH
50,2,19.030687061974902,9.515343530987451,MH
51,2,17.09324088806956,8.54662044403478,MH
52,2,16.002499011413104,8.001249505706552,MH
53,2,16.40144740209679,8.200723701048394,MH
54,2,13.8188931921923,6.90944659609615,MH
55,2,14.506442546349287,7.253221273174644,MH
56,2,15.476226666255904,7.738113333127952,MH
57,2,14.731381532585834,7.365690766292917,MH
58,2,14.480977755454584,7.240488877727292,MH
59,2,18.158517973831312,9.079258986915656,MH
60,2,12.893672456351414,6.446836228175707,MH
61,2,10.667625318972773,5.333812659486386,MH
62,2,11.909033875089555,5.954516937544778,MH
63,2,10.164695698802383,5.0823478494011916,MH
64,2,12.585972899707084,6.292986449853542,MH
65,2,15.37436750267709,7.687183751338545,MH
66,2,16.639118783780685,8.319559391890342,MH
67,2,12.378010440733673,6.189005220366837,MH
68,2,12.076677081813019,6.038338540906509,MH
69,2,14.792921443914699,7.396460721957349,MH
70,2,10.005540755710488,5.002770377855244,MH
71,2,12.505334395207191,6.2526671976035955,MH
72,2,11.000789666511807,5.500394833255903,MH
73,2,10.103155787473517,5.051577893736758,MH
74,2,12.501090263391406,6.250545131695703,MH
75,2,10.697334241683258,5.348667120841629,MH
76,2,13.262911924324612,6.631455962162306,MH
1,3,10.188038423789193,5.094019211894596,MH
2,3,7.821934936489683,3.9109674682448414,MH
3,3,9.944000844381621,4.972000422190811,MH
4,3,13.23744713342991,6.618723566714955,MH
5,3,9.958855305736865,4.9794276528684325,MH
6,3,7.268075734529887,3.6340378672649436,MH
7,3,10.661259121249097,5.330629560624549,MH
8,3,6.34073293278111,3.170366466390555,MH
9,3,13.04221706990385,6.521108534951925,MH
10,3,10.432076003196766,5.216038001598383,MH
11,3,12.085165345444587,6.042582672722293,MH
12,3,14.126592748836629,7.063296374418314,MH
13,3,10.306874114631142,5.153437057315571,MH
14,3,10.690968043959584,5.345484021979792,MH
15,3,12.170047981760264,6.085023990880132,MH
16,3,11.121747423261645,5.560873711630823,MH
17,3,11.59496812072155,5.797484060360775,MH
18,3,8.545559411080834,4.272779705540417,MH
19,3,5.867512235321208,2.933756117660604,MH
20,3,9.666010210447777,4.833005105223888,MH
21,3,18.812114273462033,9.406057136731016,MH
22,3,9.682986737710914,4.841493368855457,MH
23,3,15.32768205270347,7.663841026351735,MH
24,3,11.448545573077006,5.724272786538503,MH
25,3,15.949447363715805,7.974723681857903,MH
26,3,14.31121248282323,7.155606241411615,MH
27,3,16.52452722475452,8.26226361237726,MH
28,3,12.401353165720485,6.200676582860242,MH
29,3,8.447944379317805,4.223972189658903,MH
30,3,13.110123178956393,6.555061589478196,MH
31,3,8.176319943107638,4.088159971553819,MH
32,3,10.385390553223143,5.1926952766115715,MH
33,3,14.557372128138693,7.278686064069347,MH
34,3,20.832321017775154,10.416160508887577,MH
35,3,15.851832331952776,7.925916165976388,MH
36,3,10.937127689275048,5.468563844637524,MH
37,3,14.22420778059966,7.11210389029983,MH
38,3,11.08355023691959,5.541775118459795,MH
39,3,18.977635414277604,9.488817707138802,MH
40,3,15.280996602729847,7.640498301364923,MH
41,3,11.50796341849798,5.75398170924899,MH
42,3,4.916826708585621,2.4584133542928104,MH
43,3,10.913784964288237,5.456892482144118,MH
44,3,10.128620578368219,5.064310289184109,MH
45,3,21.22065907891938,10.61032953945969,MH
46,3,19.934687138736866,9.967343569368433,MH
47,3,16.225315931741758,8.112657965870879,MH
48,3,10.958348348353967,5.4791741741769835,MH
49,3,17.490067212845354,8.745033606422677,MH
50,3,14.502198414533504,7.251099207266752,MH
51,3,20.233898431749626,10.116949215874813,MH
52,3,12.687832063285898,6.343916031642949,MH
53,3,17.56221745371368,8.78110872685684,MH
54,3,10.037371744328865,5.018685872164433,MH
55,3,7.467549929871729,3.7337749649358645,MH
56,3,14.845973091611997,7.4229865458059985,MH
57,3,21.069992399459053,10.534996199729527,MH
58,3,17.097485019885344,8.548742509942672,MH
59,3,16.131945031794512,8.065972515897256,MH
60,3,14.873559948414593,7.436779974207297,MH
61,3,14.69530641215167,7.347653206075835,MH
62,3,18.258255071502237,9.129127535751119,MH
63,3,13.201372012995746,6.600686006497873,MH
64,3,11.406104254919166,5.703052127459583,MH
65,3,13.186517551640502,6.593258775820251,MH
66,3,10.805559602985749,5.4027798014928745,MH
67,3,12.56050810881238,6.28025405440619,MH
68,3,11.06020751193278,5.53010375596639,MH
69,3,19.605766923013615,9.802883461506807,MH
70,3,14.722893268954264,7.361446634477132,MH
71,3,14.056564573876196,7.028282286938098,MH
72,3,12.607193558786003,6.3035967793930014,MH
73,3,18.45348513502829,9.226742567514146,MH
74,3,16.912865285898746,8.456432642949373,MH
75,3,20.34424585896001,10.172122929480006,MH
76,3,16.280489645346947,8.140244822673473,MH
1,4,15.762705563821315,7.881352781910658,MH
2,4,12.380132506641568,6.190066253320784,MH
3,4,13.61093073321889,6.805465366609445,MH
4,4,7.964113352318443,3.9820566761592215,MH
5,4,10.667625318972773,5.333812659486386,MH
6,4,12.7132968541806,6.3566484270903,MH
7,4,18.947926491567117,9.473963245783558,MH
8,4,12.912771049522442,6.456385524761221,MH
9,4,9.721183924052967,4.860591962026484,MH
10,4,12.492601999759838,6.246300999879919,MH
11,4,14.542517666783452,7.271258833391726,MH
12,4,16.813128188227825,8.406564094113913,MH
13,4,19.463588507184856,9.731794253592428,MH
14,4,11.875080820563285,5.937540410281643,MH
15,4,8.450066445225698,4.225033222612849,MH
16,4,8.685615761001701,4.3428078805008505,MH
17,4,16.4778417747809,8.23892088739045,MH
18,4,16.609409861070198,8.304704930535099,MH
19,4,12.832132545022548,6.416066272511274,MH
20,4,13.627907260482026,6.813953630241013,MH
21,4,9.042122833527548,4.521061416763774,MH
22,4,12.10001980679983,6.050009903399915,MH
23,4,8.12539036131823,4.062695180659115,MH
24,4,12.904282785890874,6.452141392945437,MH
25,4,10.629428132630718,5.314714066315359,MH
26,4,9.651155749092533,4.8255778745462665,MH
27,4,12.235832024904914,6.117916012452457,MH
28,4,8.700470222356946,4.350235111178473,MH
29,4,11.370029134485003,5.685014567242502,MH
30,4,10.34719336688109,5.173596683440545,MH
31,4,13.623663128666243,6.811831564333121,MH
32,4,14.599813446296533,7.299906723148267,MH
33,4,14.884170277954054,7.442085138977027,MH
34,4,17.35425499474027,8.677127497370135,MH
35,4,16.375982611202087,8.187991305601043,MH
36,4,10.718554900762179,5.359277450381089,MH
37,4,9.873972669421187,4.936986334710594,MH
38,4,11.949353127339503,5.974676563669751,MH
39,4,11.85810429330015,5.929052146650075,MH
40,4,10.183794291973411,5.091897145986706,MH
41,4,13.120733508495851,6.560366754247926,MH
42,4,16.382348808925762,8.191174404462881,MH
43,4,13.638517590021484,6.819258795010742,MH
44,4,19.35748521179026,9.67874260589513,MH
45,4,13.638517590021484,6.819258795010742,MH
46,4,17.58556017870049,8.792780089350245,MH
47,4,14.51917494179664,7.25958747089832,MH
48,4,11.664996295681982,5.832498147840991,MH
49,4,16.02796380230781,8.013981901153905,MH
50,4,16.28473377716273,8.142366888581366,MH
51,4,14.930855727927675,7.465427863963837,MH
52,4,18.12244285339715,9.061221426698575,MH
53,4,14.631644434914913,7.315822217457456,MH
54,4,9.837897548987025,4.918948774493512,MH
55,4,12.441672417970432,6.220836208985216,MH
56,4,14.746235993941076,7.373117996970538,MH
57,4,9.014535976724952,4.507267988362476,MH
58,4,14.688940214427994,7.344470107213997,MH
59,4,9.731794253592428,4.865897126796214,MH
60,4,14.686818148520102,7.343409074260051,MH
61,4,13.5557570196137,6.77787850980685,MH
62,4,8.500996027015104,4.250498013507552,MH
